short_name_stocks,ticker_stocks_yf,ticker_stocks,secteur_activite,pays_stocks,place_boursiere,capitalisation_boursiere,ticker_indice_yf,ponderation
ING GROEP N.V.,INGA.AS,INGA,Financial Services,Netherlands,AMS,80248078336.0,^AEX,5.12
KPN KON,KPN.AS,KPN,Communication Services,Netherlands,AMS,15877889024.0,^AEX,1.01
NN GROUP,NN.AS,NN,Financial Services,Netherlands,AMS,19895945216.0,^AEX,1.27
KON.PHILIPS N.V.,PHIA.AS,PHIA,Healthcare,Netherlands,AMS,23317864448.0,^AEX,1.49
PROSUS,PRX.AS,PRX,Consumer Cyclical,Netherlands,AMS,79477604352.0,^AEX,5.08
Randstad N.V.,RAND.AS,RAND,Industrials,Netherlands,AMS,4688009728.0,^AEX,0.3
RELX,REN.AS,REN,Industrials,United Kingdom,AMS,47502737408.0,^AEX,3.03
SHELL PLC,SHELL.AS,SHELL,Energy,United Kingdom,AMS,187270381568.0,^AEX,11.96
UNIVERSAL MUSIC GROUP,UMG.AS,UMG,Communication Services,Netherlands,AMS,34918744064.0,^AEX,2.23
UNILEVER PLC,UNA.AS,UNA,Consumer Defensive,United Kingdom,AMS,115467378688.0,^AEX,7.37
WOLTERS KLUWER,WKL.AS,WKL,Industrials,Netherlands,AMS,12602166272.0,^AEX,0.8
LVMH,MC.PA,MC,Consumer Cyclical,France,PAR,242946211840.0,^STOXX50E,4.17
SAP SE                        I,SAP.DE,SAP,Technology,Germany,GER,163434905600.0,^STOXX50E,2.8
HERMES INTL,RMS.PA,RMS,Consumer Cyclical,France,PAR,169521381376.0,^STOXX50E,2.91
ASML HOLDING,ASML.AS,ASML,Technology,Netherlands,AMS,620599508992.0,^STOXX50E,10.65
L'OREAL,OR.PA,OR,Consumer Defensive,France,PAR,204095242240.0,^STOXX50E,3.5
INDUSTRIA DE DISE...O TEXTIL S.,ITX.MC,ITX,Consumer Cyclical,Spain,MCE,175469346816.0,^STOXX50E,3.01
SIEMENS AG                    N,SIE.DE,SIE,Industrials,Germany,GER,207466201088.0,^STOXX50E,3.56
DEUTSCHE TELEKOM AG           N,DTE.DE,DTE,Communication Services,Germany,GER,121095708672.0,^STOXX50E,2.08
SCHNEIDER ELECTRIC SE,SU.PA,SU,Industrials,France,PAR,154697121792.0,^STOXX50E,2.65
AIRBUS SE,AIR.PA,AIR,Industrials,Netherlands,PAR,158193483776.0,^STOXX50E,2.71
SANOFI,SAN.PA,SAN,Healthcare,France,PAR,88868675584.0,^STOXX50E,1.52
TOTALENERGIES,TTE.PA,TTE,Energy,France,PAR,147216039936.0,^STOXX50E,2.53
Allianz SE                    v,ALV.DE,ALV,Financial Services,Germany,GER,158389944320.0,^STOXX50E,2.72
ESSILORLUXOTTICA,EL.PA,EL,Healthcare,France,PAR,79486337024.0,^STOXX50E,1.36
SAFRAN,SAF.PA,SAF,Industrials,France,PAR,147026640896.0,^STOXX50E,2.52
AIR LIQUIDE,AI.PA,AI,Basic Materials,France,PAR,113476968448.0,^STOXX50E,1.95
AB INBEV,ABI.BR,ABI,Consumer Defensive,Belgium,BRU,137756655616.0,^STOXX50E,2.36
PROSUS,PRX.AS,PRX,Consumer Cyclical,Netherlands,AMS,79541526528.0,^STOXX50E,1.36
ACCIONES IBERDROLA,IBE.MC,IBE,Utilities,Spain,MCE,141758808064.0,^STOXX50E,2.43
AXA,CS.PA,CS,Financial Services,France,PAR,89098985472.0,^STOXX50E,1.53
BANCO SANTANDER S.A.,SAN.MC,SAN,Financial Services,Spain,MCE,175937306624.0,^STOXX50E,3.02
INTESA SANPAOLO,ISP.MI,ISP,Financial Services,Italy,MIL,106646626304.0,^STOXX50E,1.83
FERRARI,RACE.MI,RACE,Consumer Cyclical,Italy,MIL,58286321664.0,^STOXX50E,1.0
BNP PARIBAS ACT.A,BNP.PA,BNP,Financial Services,France,PAR,112319201280.0,^STOXX50E,1.93
MUENCHENER RUECKVERS.-GES. AG N,MUV2.DE,MUV2,Financial Services,Germany,GER,63481892864.0,^STOXX50E,1.09
UNICREDIT,UCG.MI,UCG,Financial Services,Italy,MIL,122304380928.0,^STOXX50E,2.1
ENEL,ENEL.MI,ENEL,Utilities,Italy,MIL,99828031488.0,^STOXX50E,1.71
BANCO BILBAO VIZCAYA ARGENTARIA,BBVA.MC,BBVA,Financial Services,Spain,MCE,124273623040.0,^STOXX50E,2.13
VINCI,DG.PA,DG,Industrials,France,PAR,69117042688.0,^STOXX50E,1.19
Mercedes-Benz Group AG        N,MBG.DE,MBG,Consumer Cyclical,Germany,GER,42725646336.0,^STOXX50E,0.73
ING GROEP N.V.,INGA.AS,INGA,Financial Services,Netherlands,AMS,80219463680.0,^STOXX50E,1.38
VOLKSWAGEN AG                 V,VOW3.DE,VOW3,Consumer Cyclical,Germany,GER,36213567488.0,^STOXX50E,0.62
BAYERISCHE MOTOREN WERKE AG   S,BMW.DE,BMW,Consumer Cyclical,Germany,GER,36427694080.0,^STOXX50E,0.62
ADYEN,ADYEN.AS,ADYEN,Technology,Netherlands,AMS,26727346176.0,^STOXX50E,0.46
adidas AG                     N,ADS.DE,ADS,Consumer Cyclical,Germany,GER,32472590336.0,^STOXX50E,0.56
SAINT GOBAIN,SGO.PA,SGO,Industrials,France,PAR,38798471168.0,^STOXX50E,0.67
DEUTSCHE BOERSE AG            N,DB1.DE,DB1,Financial Services,Germany,GER,44379217920.0,^STOXX50E,0.76
DANONE,BN.PA,BN,Consumer Defensive,France,PAR,47041392640.0,^STOXX50E,0.81
INFINEON TECHNOLOGIES AG      N,IFX.DE,IFX,Technology,Germany,GER,99736600576.0,^STOXX50E,1.71
BASF SE                       N,BAS.DE,BAS,Basic Materials,Germany,GER,41713618944.0,^STOXX50E,0.72
ENI,ENI.MI,ENI,Energy,Italy,MIL,59342667776.0,^STOXX50E,1.02
WOLTERS KLUWER,WKL.AS,WKL,Industrials,Netherlands,AMS,12606631936.0,^STOXX50E,0.22
DEUTSCHE POST AG              N,DHL.DE,DHL,Industrials,Germany,GER,61782228992.0,^STOXX50E,1.06
Nordea Bank Abp,NDA-SE.ST,NDA-SE,Financial Services,Finland,STO,630220062720.0,^STOXX50E,10.81
STELLANTIS NV,STLAP.PA,STLAP,Consumer Cyclical,Netherlands,PAR,14875804672.0,^STOXX50E,0.26
KONINKLIJKE AHOLD DELHAIZE N.V.,AD.AS,AD,Consumer Defensive,Netherlands,AMS,31722127360.0,^STOXX50E,0.54
KERING,KER.PA,KER,Consumer Cyclical,France,PAR,30293110784.0,^STOXX50E,0.52
PERNOD RICARD,RI.PA,RI,Consumer Defensive,France,PAR,15954368512.0,^STOXX50E,0.27
Nokia Corporation,NOKIA.HE,NOKIA,Technology,Finland,HEL,62636036096.0,^STOXX50E,1.07
Bayer AG                      N,BAYN.DE,BAYN,Healthcare,Germany,GER,51518316544.0,^STOXX50E,0.88
ABB Ltd,ABB.ST,ABB,Industrials,Switzerland,STO,1868453511168.0,^OMXSPI,13.61
Addtech AB ser. B,ADDT-B.ST,ADDT-B,Industrials,Sweden,STO,91786551296.0,^OMXSPI,0.67
Alfa Laval AB,ALFA.ST,ALFA,Industrials,Sweden,STO,237993279488.0,^OMXSPI,1.73
ASSA ABLOY AB ser. B,ASSA-B.ST,ASSA-B,Industrials,Sweden,STO,380440903680.0,^OMXSPI,2.77
AstraZeneca PLC,AZN.ST,AZN,Healthcare,United Kingdom,STO,2816365821952.0,^OMXSPI,20.51
Atlas Copco AB ser. A,ATCO-A.ST,ATCO-A,Industrials,Sweden,STO,942793424896.0,^OMXSPI,6.87
Boliden AB,BOL.ST,BOL,Basic Materials,Sweden,STO,151689003008.0,^OMXSPI,1.1
Epiroc AB ser. A,EPI-A.ST,EPI-A,Industrials,Sweden,STO,314191249408.0,^OMXSPI,2.29
EQT AB,EQT.ST,EQT,Financial Services,Sweden,STO,330390503424.0,^OMXSPI,2.41
"Ericsson, Telefonab. L M ser. B",ERIC-B.ST,ERIC-B,Technology,Sweden,STO,354052145152.0,^OMXSPI,2.58
Essity AB ser. B,ESSITY-B.ST,ESSITY-B,Consumer Defensive,Sweden,STO,187390427136.0,^OMXSPI,1.36
Evolution AB,EVO.ST,EVO,Consumer Cyclical,Sweden,STO,133852250112.0,^OMXSPI,0.97
Svenska Handelsbanken ser. A,SHB-A.ST,SHB-A,Financial Services,Sweden,STO,287182749696.0,^OMXSPI,2.09
"Hennes & Mauritz AB, H & M ser.",HM-B.ST,HM-B,Consumer Cyclical,Sweden,STO,264518991872.0,^OMXSPI,1.93
Hexagon AB ser. B,HEXA-B.ST,HEXA-B,Technology,Sweden,STO,217434603520.0,^OMXSPI,1.58
"Industrivärden, AB ser. C",INDU-C.ST,INDU-C,Financial Services,Sweden,STO,227783589888.0,^OMXSPI,1.66
Investor AB ser. B,INVE-B.ST,INVE-B,Financial Services,Sweden,STO,1227179294720.0,^OMXSPI,8.94
Lifco AB ser.B,LIFCO-B.ST,LIFCO-B,Industrials,Sweden,STO,146257641472.0,^OMXSPI,1.07
NIBE Industrier AB ser. B,NIBE-B.ST,NIBE-B,Industrials,Sweden,STO,72356626432.0,^OMXSPI,0.53
Nordea Bank Abp,NDA-SE.ST,NDA-SE,Financial Services,Finland,STO,630220062720.0,^OMXSPI,4.59
SAAB AB ser. B,SAAB-B.ST,SAAB-B,Industrials,Sweden,STO,296921661440.0,^OMXSPI,2.16
Sandvik AB,SAND.ST,SAND,Industrials,Sweden,STO,496360521728.0,^OMXSPI,3.62
Svenska Cellulosa AB SCA ser. B,SCA-B.ST,SCA-B,Basic Materials,Sweden,STO,69040267264.0,^OMXSPI,0.5
Skandinaviska Enskilda Banken s,SEB-A.ST,SEB-A,Financial Services,Sweden,STO,381328982016.0,^OMXSPI,2.78
Skanska AB ser. B,SKA-B.ST,SKA-B,Industrials,Sweden,STO,106915569664.0,^OMXSPI,0.78
"SKF, AB ser. B",SKF-B.ST,SKF-B,Industrials,Sweden,STO,117950496768.0,^OMXSPI,0.86
Swedbank AB ser A,SWED-A.ST,SWED-A,Financial Services,Sweden,STO,407796056064.0,^OMXSPI,2.97
Tele2 AB ser. B,TEL2-B.ST,TEL2-B,Communication Services,Sweden,STO,114367406080.0,^OMXSPI,0.83
Telia Company AB,TELIA.ST,TELIA,Communication Services,Sweden,STO,178910969856.0,^OMXSPI,1.3
"Volvo, AB ser. B",VOLV-B.ST,VOLV-B,Industrials,Sweden,STO,676529504256.0,^OMXSPI,4.93
AB INBEV,ABI.BR,ABI,Consumer Defensive,Belgium,BRU,137756655616.0,^BFX,35.03
ACKERMANS V.HAAREN,ACKB.BR,ACKB,Industrials,Belgium,BRU,9093638144.0,^BFX,2.31
AEDIFICA,AED.BR,AED,Real Estate,Belgium,BRU,5851225088.0,^BFX,1.49
AGEAS,AGS.BR,AGS,Financial Services,Belgium,BRU,14740086784.0,^BFX,3.75
ARGENX SE,ARGX.BR,ARGX,Healthcare,Netherlands,BRU,50247720960.0,^BFX,12.78
Non disponible,APAM.BR,APAM,Non disponible,Non disponible,Non disponible,,^BFX,
AZELIS GROUP NV,AZE.BR,AZE,Basic Materials,Belgium,BRU,2296285696.0,^BFX,0.58
D'IETEREN GROUP,DIE.BR,DIE,Consumer Cyclical,Belgium,BRU,9355169792.0,^BFX,2.38
ELIA GROUP,ELI.BR,ELI,Utilities,Belgium,BRU,14778674176.0,^BFX,3.76
GBL,GBLB.BR,GBLB,Financial Services,Belgium,BRU,9464817664.0,^BFX,2.41
KBC,KBC.BR,KBC,Financial Services,Belgium,BRU,48058015744.0,^BFX,12.22
LOTUS BAKERIES,LOTB.BR,LOTB,Consumer Defensive,Belgium,BRU,9314458624.0,^BFX,2.37
MELEXIS,MELE.BR,MELE,Technology,Belgium,BRU,3130488064.0,^BFX,0.8
MONTEA NV,MONT.BR,MONT,Real Estate,Belgium,BRU,1575230080.0,^BFX,0.4
SOFINA,SOF.BR,SOF,Financial Services,Belgium,BRU,8315410944.0,^BFX,2.11
SOLVAY,SOLB.BR,SOLB,Basic Materials,Belgium,BRU,2783293184.0,^BFX,0.71
SYENSQO,SYENS.BR,SYENS,Basic Materials,Belgium,BRU,6610120192.0,^BFX,1.68
UCB,UCB.BR,UCB,Healthcare,Belgium,BRU,49570095104.0,^BFX,12.6
UMICORE,UMI.BR,UMI,Industrials,Belgium,BRU,5013310464.0,^BFX,1.27
WAREHOUSES DE PAUW,WDP.BR,WDP,Real Estate,Belgium,BRU,5344883712.0,^BFX,1.36
ACCOR,AC.PA,AC,Consumer Cyclical,France,PAR,11919753216.0,^FCHI,0.47
AIR LIQUIDE,AI.PA,AI,Basic Materials,France,PAR,113362509824.0,^FCHI,4.49
AIRBUS SE,AIR.PA,AIR,Industrials,Netherlands,PAR,158193483776.0,^FCHI,6.26
Non disponible,MT.PA,MT,Non disponible,Non disponible,YHD,,^FCHI,
AXA,CS.PA,CS,Financial Services,France,PAR,89058304000.0,^FCHI,3.53
BNP PARIBAS ACT.A,BNP.PA,BNP,Financial Services,France,PAR,112231071744.0,^FCHI,4.44
BOUYGUES,EN.PA,EN,Industrials,France,PAR,18238181376.0,^FCHI,0.72
BUREAU VERITAS,BVI.PA,BVI,Industrials,France,PAR,11897054208.0,^FCHI,0.47
CAPGEMINI,CAP.PA,CAP,Technology,France,PAR,15058341888.0,^FCHI,0.6
CARREFOUR,CA.PA,CA,Consumer Defensive,France,PAR,11512867840.0,^FCHI,0.46
CREDIT AGRICOLE,ACA.PA,ACA,Financial Services,France,PAR,53675470848.0,^FCHI,2.13
DANONE,BN.PA,BN,Consumer Defensive,France,PAR,47028547584.0,^FCHI,1.86
DASSAULT SYSTEMES,DSY.PA,DSY,Technology,France,PAR,23980386304.0,^FCHI,0.95
EIFFAGE,FGR.PA,FGR,Industrials,France,PAR,12387200000.0,^FCHI,0.49
ENGIE,ENGI.PA,ENGI,Utilities,France,PAR,68122447872.0,^FCHI,2.7
ESSILORLUXOTTICA,EL.PA,EL,Healthcare,France,PAR,79716130816.0,^FCHI,3.16
EUROFINS SCIENT.,ERF.PA,ERF,Healthcare,Luxembourg,PAR,11846165504.0,^FCHI,0.47
EURONEXT,ENX.PA,ENX,Financial Services,Netherlands,PAR,14402471936.0,^FCHI,0.57
HERMES INTL,RMS.PA,RMS,Consumer Cyclical,France,PAR,169626124288.0,^FCHI,6.72
KERING,KER.PA,KER,Consumer Cyclical,France,PAR,30305372160.0,^FCHI,1.2
LEGRAND,LR.PA,LR,Industrials,France,PAR,37366435840.0,^FCHI,1.48
L'OREAL,OR.PA,OR,Consumer Defensive,France,PAR,204015386624.0,^FCHI,8.08
LVMH,MC.PA,MC,Consumer Cyclical,France,PAR,242773508096.0,^FCHI,9.61
MICHELIN,ML.PA,ML,Non disponible,Non disponible,PAR,0.0,^FCHI,0.0
ORANGE,ORA.PA,ORA,Communication Services,France,PAR,42375282688.0,^FCHI,1.68
PERNOD RICARD,RI.PA,RI,Consumer Defensive,France,PAR,15929187328.0,^FCHI,0.63
PUBLICIS GROUPE SA,PUB.PA,PUB,Communication Services,France,PAR,20926459904.0,^FCHI,0.83
RENAULT,RNO.PA,RNO,Consumer Cyclical,France,PAR,7553239552.0,^FCHI,0.3
SAFRAN,SAF.PA,SAF,Industrials,France,PAR,146570035200.0,^FCHI,5.8
SAINT GOBAIN,SGO.PA,SGO,Industrials,France,PAR,38778880000.0,^FCHI,1.54
SANOFI,SAN.PA,SAN,Healthcare,France,PAR,88832770048.0,^FCHI,3.52
SCHNEIDER ELECTRIC SE,SU.PA,SU,Industrials,France,PAR,154528415744.0,^FCHI,6.12
SOCIETE GENERALE,GLE.PA,GLE,Financial Services,France,PAR,56424407040.0,^FCHI,2.23
STELLANTIS NV,STLAP.PA,STLAP,Consumer Cyclical,Netherlands,PAR,14861318144.0,^FCHI,0.59
STMICROELECTRONICS,STMPA.PA,STMPA,Technology,Netherlands,PAR,55354097664.0,^FCHI,2.19
THALES,HO.PA,HO,Industrials,France,PAR,48534728704.0,^FCHI,1.92
TOTALENERGIES,TTE.PA,TTE,Energy,France,PAR,147238273024.0,^FCHI,5.83
UNIBAIL-RODAMCO-WESTFIELD,URW.PA,URW,Real Estate,France,PAR,14782233600.0,^FCHI,0.59
VEOLIA ENVIRON.,VIE.PA,VIE,Industrials,France,PAR,26359803904.0,^FCHI,1.04
VINCI,DG.PA,DG,Industrials,France,PAR,69089386496.0,^FCHI,2.74
ARCELORMITTAL SA,MT.AS,MT,Basic Materials,Luxembourg,AMS,40822861824.0,^FCHI,1.62
Elisa Corporation,ELISA.HE,ELISA,Communication Services,Finland,HEL,5700394496.0,^OMXH25,1.81
Fortum Corporation,FORTUM.HE,FORTUM,Utilities,Finland,HEL,17900427264.0,^OMXH25,5.69
Hiab Oyj,HIAB.HE,HIAB,Industrials,Finland,HEL,3442498560.0,^OMXH25,1.09
Huhtamäki Oyj,HUH1V.HE,HUH1V,Consumer Cyclical,Finland,HEL,2765335808.0,^OMXH25,0.88
Kalmar Oyj B,KALMAR.HE,KALMAR,Industrials,Finland,HEL,2399765248.0,^OMXH25,0.76
Kemira Oyj,KEMIRA.HE,KEMIRA,Basic Materials,Finland,HEL,2380144128.0,^OMXH25,0.76
Kesko Corporation B,KESKOB.HE,KESKOB,Consumer Defensive,Finland,HEL,7719873024.0,^OMXH25,2.46
Non disponible,KOJAMO.HE,KOJAMO,Non disponible,Non disponible,Non disponible,,^OMXH25,
KONE Corporation,KNEBV.HE,KNEBV,Industrials,Finland,HEL,26162958336.0,^OMXH25,8.32
Konecranes Plc,KCR.HE,KCR,Industrials,Finland,HEL,6311792640.0,^OMXH25,2.01
Mandatum Oyj,MANTA.HE,MANTA,Financial Services,Finland,HEL,2762632448.0,^OMXH25,0.88
Metso Oyj,METSO.HE,METSO,Industrials,Finland,HEL,12537637888.0,^OMXH25,3.99
Neste Corporation,NESTE.HE,NESTE,Energy,Finland,HEL,21404356608.0,^OMXH25,6.81
Nokia Corporation,NOKIA.HE,NOKIA,Technology,Finland,HEL,62608121856.0,^OMXH25,19.91
Nokian Tyres Plc,TYRES.HE,TYRES,Consumer Cyclical,Finland,HEL,1679320576.0,^OMXH25,0.53
Nordea Bank Abp,NDA-FI.HE,NDA-FI,Financial Services,Finland,HEL,56930213888.0,^OMXH25,18.1
Orion Corporation B,ORNBV.HE,ORNBV,Healthcare,Finland,HEL,10087623680.0,^OMXH25,3.21
Outokumpu Oyj,OUT1V.HE,OUT1V,Basic Materials,Finland,HEL,2355945984.0,^OMXH25,0.75
Qt Group Oyj,QTCOM.HE,QTCOM,Technology,Finland,HEL,598216960.0,^OMXH25,0.19
Sampo Plc A,SAMPO.HE,SAMPO,Financial Services,Finland,HEL,24475539456.0,^OMXH25,7.78
Stora Enso Oyj R,STERV.HE,STERV,Consumer Cyclical,Finland,HEL,7277384704.0,^OMXH25,2.31
Tieto Corporation,TIETO.HE,TIETO,Technology,Finland,HEL,2013419264.0,^OMXH25,0.64
UPM-Kymmene Corporation,UPM.HE,UPM,Basic Materials,Finland,HEL,12054627328.0,^OMXH25,3.83
Valmet Corporation,VALMT.HE,VALMT,Industrials,Finland,HEL,3905836800.0,^OMXH25,1.24
Wärtsilä Corporation,WRT1V.HE,WRT1V,Industrials,Finland,HEL,18977492992.0,^OMXH25,6.04
A.P. Møller - Mærsk A A/S,MAERSK-A.CO,MAERSK-A,Industrials,Denmark,CPH,229177196544.0,^OMXC25,5.8
A.P. Møller - Mærsk B A/S,MAERSK-B.CO,MAERSK-B,Industrials,Denmark,CPH,235981570048.0,^OMXC25,5.97
Ambu A/S,AMBU-B.CO,AMBU-B,Healthcare,Denmark,CPH,17225211904.0,^OMXC25,0.44
Bavarian Nordic A/S,BAVA.CO,BAVA,Healthcare,Denmark,CPH,14287281152.0,^OMXC25,0.36
Carlsberg B A/S,CARL-B.CO,CARL-B,Consumer Defensive,Denmark,CPH,119536427008.0,^OMXC25,3.03
Coloplast B A/S,COLO-B.CO,COLO-B,Healthcare,Denmark,CPH,87194411008.0,^OMXC25,2.21
Danske Bank A/S,DANSKE.CO,DANSKE,Financial Services,Denmark,CPH,287802261504.0,^OMXC25,7.29
Demant A/S,DEMANT.CO,DEMANT,Healthcare,Denmark,CPH,57406603264.0,^OMXC25,1.45
DSV A/S,DSV.CO,DSV,Industrials,Denmark,CPH,395302993920.0,^OMXC25,10.01
Genmab A/S,GMAB.CO,GMAB,Healthcare,Denmark,CPH,111245180928.0,^OMXC25,2.82
GN Store Nord A/S,GN.CO,GN,Healthcare,Denmark,CPH,13110953984.0,^OMXC25,0.33
ISS A/S,ISS.CO,ISS,Industrials,Denmark,CPH,43600179200.0,^OMXC25,1.1
Jyske Bank A/S,JYSK.CO,JYSK,Financial Services,Denmark,CPH,54687154176.0,^OMXC25,1.38
NKT A/S,NKT.CO,NKT,Industrials,Denmark,CPH,51953840128.0,^OMXC25,1.32
Non disponible,NDA.CO,NDA,Non disponible,Non disponible,YHD,,^OMXC25,
Novo Nordisk B A/S,NOVO-B.CO,NOVO-B,Healthcare,Denmark,CPH,1420462260224.0,^OMXC25,35.96
Novonesis (Novozymes A/S) B,NSIS-B.CO,NSIS-B,Basic Materials,Denmark,CPH,195909255168.0,^OMXC25,4.96
Pandora A/S,PNDORA.CO,PNDORA,Consumer Cyclical,Denmark,CPH,57551609856.0,^OMXC25,1.46
Rockwool A/S ser. B,ROCK-B.CO,ROCK-B,Industrials,Denmark,CPH,43579183104.0,^OMXC25,1.1
Royal UNIBREW A/S,RBREW.CO,RBREW,Consumer Defensive,Denmark,CPH,21915121664.0,^OMXC25,0.55
Non disponible,SYDB.CO,SYDB,Non disponible,Non disponible,Non disponible,,^OMXC25,
Tryg A/S,TRYG.CO,TRYG,Financial Services,Denmark,CPH,88788779008.0,^OMXC25,2.25
Vestas Wind Systems A/S,VWS.CO,VWS,Industrials,Denmark,CPH,182856269824.0,^OMXC25,4.63
Zealand Pharma A/S,ZEAL.CO,ZEAL,Healthcare,Denmark,CPH,20570005504.0,^OMXC25,0.52
ORSTED A/S,ORSTED.CO,ORSTED,Utilities,Denmark,CPH,199612481536.0,^OMXC25,5.05
"ACS,ACTIVIDADES DE CONSTRUCCION",ACS.MC,ACS,Industrials,Spain,MCE,32737708032.0,^IBEX,2.76
"ACERINOX, S.A.",ACX.MC,ACX,Basic Materials,Spain,MCE,3914455296.0,^IBEX,0.33
"AMADEUS IT GROUP, S.A.",AMS.MC,AMS,Technology,Spain,MCE,21743005696.0,^IBEX,1.83
"ACCIONA, S.A.",ANA.MC,ANA,Industrials,Spain,MCE,14618258432.0,^IBEX,1.23
CORPORACI...N ACCIONA ENERG...A,ANE.MC,ANE,Utilities,Spain,MCE,7329705984.0,^IBEX,0.62
BANCO BILBAO VIZCAYA ARGENTARIA,BBVA.MC,BBVA,Financial Services,Spain,MCE,124273623040.0,^IBEX,10.47
"BANKINTER, S.A.",BKT.MC,BKT,Financial Services,Spain,MCE,13696131072.0,^IBEX,1.15
"CAIXABANK, S.A.",CABK.MC,CABK,Financial Services,Spain,MCE,88558329856.0,^IBEX,7.46
"CELLNEX TELECOM, S.A.",CLNX.MC,CLNX,Real Estate,Spain,MCE,17245300736.0,^IBEX,1.45
"COLONIAL SFL, SOCIMI. S.A.",COL.MC,COL,Real Estate,Spain,MCE,3461860096.0,^IBEX,0.29
"AENA, S.M.E., S.A.",AENA.MC,AENA,Industrials,Spain,MCE,40530001920.0,^IBEX,3.42
"ENDESA,S.A.",ELE.MC,ELE,Utilities,Spain,MCE,39767937024.0,^IBEX,3.35
"ENAGAS,S.A.",ENG.MC,ENG,Utilities,Spain,MCE,4360364032.0,^IBEX,0.37
"FLUIDRA, S.A.",FDR.MC,FDR,Consumer Cyclical,Spain,MCE,3790045184.0,^IBEX,0.32
FERROVIAL N.V.,FER.MC,FER,Industrials,Netherlands,MCE,42468823040.0,^IBEX,3.58
GRIFOLS S.A.,GRF.MC,GRF,Healthcare,Spain,MCE,6159243776.0,^IBEX,0.52
INTL CONSOLIDATED AIRLINES GROU,IAG.MC,IAG,Industrials,United Kingdom,MCE,24555116544.0,^IBEX,2.07
ACCIONES IBERDROLA,IBE.MC,IBE,Utilities,Spain,MCE,141626982400.0,^IBEX,11.94
"INDRA SISTEMAS S.A., SERIE A",IDR.MC,IDR,Technology,Spain,MCE,8950420480.0,^IBEX,0.75
INDUSTRIA DE DISE...O TEXTIL S.,ITX.MC,ITX,Consumer Cyclical,Spain,MCE,175531622400.0,^IBEX,14.79
COMPA...IA DE DISTRIBUCION INTE,LOG.MC,LOG,Industrials,Spain,MCE,4490312704.0,^IBEX,0.38
"MAPFRE, S.A.",MAP.MC,MAP,Financial Services,Spain,MCE,13505501184.0,^IBEX,1.14
"MERLIN PROPERTIES SOCIMI, S.A.",MRL.MC,MRL,Real Estate,Spain,MCE,9465867264.0,^IBEX,0.8
ARCELORMITTAL SA,MTS.MC,MTS,Basic Materials,Luxembourg,MCE,40868253696.0,^IBEX,3.44
"NATURGY ENERGY GROUP, S.A.",NTGY.MC,NTGY,Utilities,Spain,MCE,25383184384.0,^IBEX,2.14
"PUIG BRANDS, S.A. CLASE B",PUIG.MC,PUIG,Consumer Defensive,Spain,MCE,16033751040.0,^IBEX,1.35
"REDEIA CORPORACION, S.A.",RED.MC,RED,Utilities,Spain,MCE,8103872512.0,^IBEX,0.68
"REPSOL,  S.A.",REP.MC,REP,Energy,Spain,MCE,24562022400.0,^IBEX,2.07
LABORATORIOS FARMACEUTICOS ROVI,ROVI.MC,ROVI,Healthcare,Spain,MCE,2941095936.0,^IBEX,0.25
BANCO DE SABADELL,SAB.MC,SAB,Financial Services,Spain,MCE,15347463168.0,^IBEX,1.29
BANCO SANTANDER S.A.,SAN.MC,SAN,Financial Services,Spain,MCE,175965978624.0,^IBEX,14.83
"SACYR, S.A.",SCYR.MC,SCYR,Industrials,Spain,MCE,3739494400.0,^IBEX,0.32
SOLARIA ENERGIA Y MEDIO AMBIENT,SLR.MC,SLR,Utilities,Spain,MCE,2616287744.0,^IBEX,0.22
"TELEFONICA,S.A.",TEF.MC,TEF,Communication Services,Spain,MCE,19811643392.0,^IBEX,1.67
"UNICAJA BANCO, S.A.",UNI.MC,UNI,Financial Services,Spain,MCE,8305560064.0,^IBEX,0.7
A2A,A2A.MI,A2A,Utilities,Italy,MIL,7110914048.0,FTSEMIB.MI,0.68
AMPLIFON,AMP.MI,AMP,Healthcare,Italy,MIL,2645589760.0,FTSEMIB.MI,0.25
AVIO,AVIO.MI,AVIO,Industrials,Italy,MIL,1486791168.0,FTSEMIB.MI,0.14
AZIMUT,AZM.MI,AZM,Financial Services,Italy,MIL,5156532736.0,FTSEMIB.MI,0.5
BANCA MEDIOLANUM,BMED.MI,BMED,Financial Services,Italy,MIL,16516299776.0,FTSEMIB.MI,1.59
BANCA MONTE PASCHI SIENA,BMPS.MI,BMPS,Financial Services,Italy,MIL,33513752576.0,FTSEMIB.MI,3.22
BANCO BPM,BAMI.MI,BAMI,Financial Services,Italy,MIL,23050074112.0,FTSEMIB.MI,2.22
BPER BANCA,BPE.MI,BPE,Financial Services,Italy,MIL,28961064960.0,FTSEMIB.MI,2.78
BRUNELLO CUCINELLI,BC.MI,BC,Consumer Cyclical,Italy,MIL,5624960000.0,FTSEMIB.MI,0.54
BUZZI,BZU.MI,BZU,Basic Materials,Italy,MIL,8022608896.0,FTSEMIB.MI,0.77
CAMPARI,CPR.MI,CPR,Consumer Defensive,Italy,MIL,6502213632.0,FTSEMIB.MI,0.63
DIASORIN,DIA.MI,DIA,Healthcare,Italy,MIL,3448117760.0,FTSEMIB.MI,0.33
ENEL,ENEL.MI,ENEL,Utilities,Italy,MIL,99768492032.0,FTSEMIB.MI,9.59
ENI,ENI.MI,ENI,Energy,Italy,MIL,59357270016.0,FTSEMIB.MI,5.71
